<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
FIXP;D;20210610;000000;623.4;624;615.1;618.2;50772;0
FIXP;D;20210611;000000;620.5;623.9;615.9;616;57984;0
FIXP;D;20210614;000000;620.4;620.5;610;613.1;39551;0
FIXP;D;20210615;000000;613.1;627;610;612.7;53738;0
FIXP;D;20210616;000000;612.1;616.2;610;610.7;70305;0
FIXP;D;20210617;000000;614;664.2;610.6;664.2;199758;0
FIXP;D;20210618;000000;664.2;664.2;633.3;659;186515;0
FIXP;D;20210621;000000;658;667.5;641.5;667.3;126553;0
FIXP;D;20210622;000000;667.3;671;660;668.8;63028;0
FIXP;D;20210623;000000;668.6;676.3;662.8;675.1;125625;0
FIXP;D;20210624;000000;674.1;680.7;662;671.4;115557;0
FIXP;D;20210625;000000;671.6;678.5;653.3;662.2;100896;0
FIXP;D;20210628;000000;662.3;666.4;651;665.9;111287;0
FIXP;D;20210629;000000;654;662.8;641;649;76990;0
FIXP;D;20210630;000000;660;660;632;637;92306;0
FIXP;D;20210701;000000;636.9;660;636.9;645.5;64397;0
FIXP;D;20210702;000000;649.8;654.7;641.3;649;77350;0
FIXP;D;20210705;000000;653;653.9;633.6;643.1;72330;0
FIXP;D;20210706;000000;653.3;653.3;635.1;637.8;103360;0
FIXP;D;20210707;000000;642.4;650;633;637.6;65235;0
FIXP;D;20210708;000000;636.1;640;618.1;628;113452;0
FIXP;D;20210709;000000;635.2;639.6;626.6;633.8;41542;0
FIXP;D;20210712;000000;630;650;623.1;648.1;119317;0
FIXP;D;20210713;000000;644.7;648.3;629;632.1;82915;0
FIXP;D;20210714;000000;632.1;634.4;612.7;617.3;103909;0
FIXP;D;20210715;000000;622.6;622.6;605.5;617;100775;0
FIXP;D;20210716;000000;618;618;602;605;164100;0
FIXP;D;20210719;000000;608.9;615;595.5;602;146896;0
FIXP;D;20210720;000000;609.1;609.1;593;601.9;151576;0
FIXP;D;20210721;000000;601.9;603.4;585.6;587.9;179118;0
FIXP;D;20210722;000000;592.4;592.4;569;576.6;196392;0
FIXP;D;20210723;000000;576.8;579.8;568;573.9;121833;0
FIXP;D;20210726;000000;574.4;576.5;560;565.9;134702;0
FIXP;D;20210727;000000;561.5;567.5;545;549.4;151203;0
FIXP;D;20210728;000000;550.9;557;538.3;547.9;197829;0
FIXP;D;20210729;000000;548.6;556.8;540.6;555;130995;0
FIXP;D;20210730;000000;555;569.3;554.5;567;178256;0
FIXP;D;20210802;000000;567.2;571.8;546.4;555.3;98902;0
FIXP;D;20210803;000000;555.4;557.3;545;556;99421;0
FIXP;D;20210804;000000;556.8;567.9;550.6;561.5;83461;0
FIXP;D;20210805;000000;561.5;574;555;574;67172;0
FIXP;D;20210806;000000;567.8;577.4;560.4;570.9;74970;0
FIXP;D;20210809;000000;575;584.2;570.3;581.9;99058;0
FIXP;D;20210810;000000;589;591;581.1;590.5;49541;0
FIXP;D;20210811;000000;589.4;594;573.3;584;105451;0
FIXP;D;20210812;000000;615;615;584;610;568169;0
FIXP;D;20210813;000000;610;639.9;602.4;629;358497;0
FIXP;D;20210816;000000;632;644.9;623.2;642.7;171566;0
FIXP;D;20210817;000000;642.7;675;633.7;670;507145;0
FIXP;D;20210818;000000;670;680;654;665.7;244479;0
FIXP;D;20210819;000000;670;697;661.1;683.6;331325;0
FIXP;D;20210820;000000;704.3;704.3;668;674.1;174887;0
FIXP;D;20210823;000000;678;686.2;655;662;120610;0
FIXP;D;20210824;000000;664.9;672;645.7;649;145861;0
FIXP;D;20210825;000000;650.6;679.4;645.7;664.8;69462;0
