<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
LKOH;D;20200311;000000;4651;4988;4520;4908;4816839;0
LKOH;D;20200312;000000;4625;4745.5;4487.5;4511.5;3688507;0
LKOH;D;20200313;000000;4500;4760;4414;4414;3674323;0
LKOH;D;20200316;000000;4414;4414;4102;4251;2584084;0
LKOH;D;20200317;000000;4215;4326.5;4030;4168.5;2247349;0
LKOH;D;20200318;000000;4050.5;4145;3744;3754;3646263;0
LKOH;D;20200319;000000;3830;4484.5;3663;4333;4777045;0
LKOH;D;20200320;000000;4501;4745;4408;4472.5;5026033;0
LKOH;D;20200323;000000;4250;4409;4122;4175.5;3410036;0
LKOH;D;20200324;000000;4500;4550;4362.5;4494;2409326;0
LKOH;D;20200325;000000;4596;4725;4400;4590;2900489;0
LKOH;D;20200326;000000;4555;4700;4484.5;4700;2001929;0
LKOH;D;20200327;000000;4699;4745;4401.5;4430;2095726;0
LKOH;D;20200330;000000;4355;4459;4313;4459;1725236;0
LKOH;D;20200331;000000;4550;4715;4501;4715;2433310;0
LKOH;D;20200401;000000;4596;4734.5;4564;4674.5;1919728;0
LKOH;D;20200402;000000;4865;5229.5;4787.5;5050;3860103;0
LKOH;D;20200403;000000;5050;5364;4927;5204.5;3133078;0
LKOH;D;20200406;000000;5212;5270;5064;5163;2296193;0
LKOH;D;20200407;000000;5260;5260;5052.5;5118;1842884;0
LKOH;D;20200408;000000;5063;5175;5036.5;5140;1926786;0
LKOH;D;20200409;000000;5198;5275;5052;5201;2296255;0
LKOH;D;20200410;000000;5120;5139.5;5064;5130;716521;0
LKOH;D;20200413;000000;5118.5;5125;4933;5040;941577;0
LKOH;D;20200414;000000;5088;5119.5;4825;4844;2050966;0
LKOH;D;20200415;000000;4800;4800;4453;4484;2653586;0
LKOH;D;20200416;000000;4501.5;4631;4365;4561.5;3418181;0
LKOH;D;20200417;000000;4696;4697;4545;4620;1691455;0
LKOH;D;20200420;000000;4559.5;4637;4455;4522.5;1901928;0
LKOH;D;20200421;000000;4402;4533.5;4281;4475;3803184;0
LKOH;D;20200422;000000;4416.5;4810.5;4385.5;4810.5;3441491;0
LKOH;D;20200423;000000;4894.5;4979.5;4730;4902.5;2564752;0
LKOH;D;20200424;000000;4874.5;4876;4720;4745.5;1849964;0
LKOH;D;20200427;000000;4745;4790;4620;4650;1687755;0
LKOH;D;20200428;000000;4624;4808;4621;4738.5;2736525;0
LKOH;D;20200429;000000;4779;4940;4750;4897;2888562;0
LKOH;D;20200430;000000;4940;5040;4816.5;4826.5;3034509;0
LKOH;D;20200504;000000;4787;4909.5;4751.5;4848.5;1261445;0
LKOH;D;20200505;000000;4950;4985;4880;4975;1430540;0
LKOH;D;20200506;000000;5000;5014.5;4825;4857.5;1867699;0
LKOH;D;20200507;000000;4865;4950;4825;4839;1713477;0
LKOH;D;20200508;000000;4862.5;4879;4733;4832;1618465;0
LKOH;D;20200512;000000;4841;4928;4824;4897.5;1312203;0
LKOH;D;20200513;000000;4877.5;4896;4815.5;4819;1151391;0
LKOH;D;20200514;000000;4800;4870;4773;4870;1474143;0
LKOH;D;20200515;000000;4933;4968;4874.5;4874.5;1659668;0
LKOH;D;20200518;000000;4978.5;5191.5;4935;5170.5;2517559;0
LKOH;D;20200519;000000;5193;5285;5178.5;5272;2107046;0
LKOH;D;20200520;000000;5275;5471;5238;5450;2241360;0
LKOH;D;20200521;000000;5459;5548;5227;5286;2659586;0
LKOH;D;20200522;000000;5190.5;5348;5166;5317;1591595;0
LKOH;D;20200525;000000;5349.5;5420;5344;5412.5;619003;0
LKOH;D;20200526;000000;5500;5539.5;5435;5445;1608166;0
LKOH;D;20200527;000000;5424;5515.5;5285;5352.5;1740887;0
LKOH;D;20200528;000000;5355;5484.5;5309;5392;1392948;0
LKOH;D;20200529;000000;5380;5380;5224;5242.5;2452558;0
LKOH;D;20200601;000000;5349.5;5412.5;5269;5318;1315398;0
LKOH;D;20200602;000000;5357;5433;5340;5400;1356984;0
LKOH;D;20200603;000000;5450;5566.5;5424;5549.5;2084320;0
LKOH;D;20200604;000000;5530.5;5553;5430;5430;1480863;0
