<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
SBER;D;20170613;000000;145.35;147.3;145;146;53389650;0
SBER;D;20170614;000000;145.65;145.65;142.81;143;58225630;0
SBER;D;20170615;000000;141.94;142.21;136.2;139;183326250;0
SBER;D;20170616;000000;139.65;142.8;139.02;141.63;79690200;0
SBER;D;20170619;000000;142.5;145.15;141.8;145;55251940;0
SBER;D;20170620;000000;145.2;147.1;143.5;144.9;58990950;0
SBER;D;20170621;000000;144.16;144.99;142.77;143.49;48036300;0
SBER;D;20170622;000000;142.39;145.69;141.78;144.25;54360770;0
SBER;D;20170623;000000;144.4;146;143.62;144.1;42333900;0
SBER;D;20170626;000000;144.85;146.49;143.81;144.49;46189970;0
SBER;D;20170627;000000;144.05;147.2;143.4;147.1;51070850;0
SBER;D;20170628;000000;146.2;146.45;144.71;145.5;45975150;0
SBER;D;20170629;000000;146.51;146.83;143.2;143.8;48806780;0
SBER;D;20170630;000000;143.2;146.73;142.88;145.59;67210520;0
SBER;D;20170703;000000;146.65;148.3;146.22;147.5;38410910;0
SBER;D;20170704;000000;147.5;149.8;147.11;149.39;40165050;0
SBER;D;20170705;000000;149.39;149.79;147.89;148.96;48191260;0
SBER;D;20170706;000000;149.2;151.03;148.9;150.35;51568300;0
SBER;D;20170707;000000;149.65;152.5;149.06;152.16;57150370;0
SBER;D;20170710;000000;152.48;155.34;152.36;155;63627110;0
SBER;D;20170711;000000;155.55;157;154.95;156.91;57224430;0
SBER;D;20170712;000000;157.53;160.99;157.5;160.85;70426950;0
SBER;D;20170713;000000;161.46;162.62;158.34;159.94;71818670;0
SBER;D;20170714;000000;159.9;162.26;159.43;161.4;43599590;0
SBER;D;20170717;000000;161.8;163.1;159.82;161.98;40217710;0
SBER;D;20170718;000000;162;162.99;160.88;161.7;36470090;0
SBER;D;20170719;000000;161.3;164.34;160.53;164.34;56474420;0
SBER;D;20170720;000000;164.06;164.91;163.47;163.93;41944460;0
SBER;D;20170721;000000;163.99;163.99;161.72;162.1;35022910;0
SBER;D;20170724;000000;161.21;162.33;158.6;161.33;57495790;0
SBER;D;20170725;000000;161.66;162.3;159.92;160.22;43210700;0
SBER;D;20170726;000000;160.71;162.31;160.12;161.55;42613080;0
SBER;D;20170727;000000;162.41;166;162.4;166;55346350;0
SBER;D;20170728;000000;165.37;165.75;163.15;165.4;50132670;0
SBER;D;20170731;000000;165.53;167.35;163.88;164.53;55781520;0
SBER;D;20170801;000000;165.5;168;165.3;166.31;55355180;0
SBER;D;20170802;000000;166.6;169.94;166.54;169.9;55341010;0
SBER;D;20170803;000000;170;170.98;169.17;170;56318760;0
SBER;D;20170804;000000;169.49;170;168.6;169.73;27204000;0
SBER;D;20170807;000000;170.47;172.95;170.38;172.79;35533610;0
SBER;D;20170808;000000;173;175.88;172.66;175.75;50529650;0
SBER;D;20170809;000000;174.8;175.2;172.8;173.4;49021230;0
SBER;D;20170810;000000;173.75;174.16;172.01;172.2;30020500;0
SBER;D;20170811;000000;171.26;172.49;168.64;172.05;60812390;0
SBER;D;20170814;000000;173;173.77;171.37;172.51;30902070;0
SBER;D;20170815;000000;172.31;172.72;170.46;172.33;30384890;0
SBER;D;20170816;000000;172.95;175.3;172.83;173.05;41837570;0
SBER;D;20170817;000000;172.5;173.99;172.27;172.72;26052310;0
SBER;D;20170818;000000;171.71;171.71;168.13;169.5;52379100;0
SBER;D;20170821;000000;169.77;170.69;168.5;169.9;36731730;0
SBER;D;20170822;000000;171.2;171.7;169.7;171;37858620;0
SBER;D;20170823;000000;171;175.3;170.98;175.3;55467190;0
SBER;D;20170824;000000;175.5;179.94;175.3;179.8;78590210;0
SBER;D;20170825;000000;180.85;182.25;179.6;180.51;68786620;0
SBER;D;20170828;000000;180.6;181.85;179.2;181.85;27960960;0
SBER;D;20170829;000000;182;182;179.51;181.89;46130680;0
SBER;D;20170830;000000;182.5;184.48;180.85;183.5;48548970;0
SBER;D;20170831;000000;182.99;186.33;181.71;183.51;64267180;0
SBER;D;20170901;000000;183.85;185.33;182.02;183.66;34360100;0
SBER;D;20170904;000000;181.51;185.27;180.93;184.1;25717510;0
SBER;D;20170905;000000;184.39;185.59;183.33;184.14;34342180;0
SBER;D;20170906;000000;183.25;183.73;181.47;183.12;33518200;0
SBER;D;20170907;000000;183.47;185.25;183.32;184;45668560;0
SBER;D;20170908;000000;184.1;187.43;183.77;185.89;60690500;0
SBER;D;20170911;000000;186.7;191.3;186.51;190.5;61682280;0
SBER;D;20170912;000000;191.03;192.31;188.14;189.32;50535740;0
SBER;D;20170913;000000;189.32;190.95;188.4;189.1;47811940;0
SBER;D;20170914;000000;189;189.39;186;188.64;38052220;0
SBER;D;20170915;000000;188.73;189.3;186.72;188.75;44784370;0
SBER;D;20170918;000000;189.56;190.37;187.31;188.04;29580440;0
SBER;D;20170919;000000;187.68;187.72;184.55;184.85;41401170;0
SBER;D;20170920;000000;184.5;186.47;182.65;186.47;50034550;0
SBER;D;20170921;000000;186.4;188.37;183.8;187.38;41621350;0
SBER;D;20170922;000000;187.35;188.77;186.77;187.55;37307660;0
SBER;D;20170925;000000;187.37;191.38;186.37;191.2;64177070;0
SBER;D;20170926;000000;191.56;195;191.54;192.54;82080300;0
SBER;D;20170927;000000;192.94;194.29;191.2;193.7;55030940;0
SBER;D;20170928;000000;193.68;194.3;191.53;191.96;39113080;0
SBER;D;20170929;000000;192;192.94;190.8;192.33;26325570;0
SBER;D;20171002;000000;192.76;194.1;191.1;193;35954810;0
SBER;D;20171003;000000;193.28;193.87;192.13;192.5;28657490;0
SBER;D;20171004;000000;192.49;192.59;191.22;192.03;26536580;0
SBER;D;20171005;000000;192;193.93;189.06;193.74;49466550;0
SBER;D;20171006;000000;194.3;196.42;193.67;194.16;52399740;0
SBER;D;20171009;000000;194.2;194.9;192.58;194;27756660;0
SBER;D;20171010;000000;194.3;194.45;192.95;193.21;17832400;0
SBER;D;20171011;000000;193.95;196.75;193.56;195.83;58002000;0
SBER;D;20171012;000000;195.85;196.75;194.95;195.51;34969250;0
SBER;D;20171013;000000;195.62;197.29;195.2;196.48;30338910;0
SBER;D;20171016;000000;197.53;198.52;196.7;197.7;26979280;0
SBER;D;20171017;000000;197.3;198;196.07;197.2;26239760;0
SBER;D;20171018;000000;197.5;197.89;194.01;195.31;43547040;0
SBER;D;20171019;000000;195.26;195.69;191.81;192.2;40359720;0
SBER;D;20171020;000000;193.6;194.14;192.23;192.97;29002730;0
SBER;D;20171023;000000;193.41;193.64;190.82;192.34;26949880;0
SBER;D;20171024;000000;191.64;192.92;190.13;192.5;28262140;0
SBER;D;20171025;000000;193;194.37;192.04;192.04;32303420;0
SBER;D;20171026;000000;192.65;193.5;190.72;192.75;25634660;0
SBER;D;20171027;000000;193.53;196.18;192.87;196.05;46796590;0
SBER;D;20171030;000000;196.32;197.7;195;195;31936710;0
SBER;D;20171031;000000;194.81;196.36;193.8;193.8;25643690;0
SBER;D;20171101;000000;194.49;197.05;193.33;194.05;40292630;0
SBER;D;20171102;000000;193.78;195.12;192.38;193.85;33747050;0
SBER;D;20171103;000000;194.77;195.75;193.2;193.8;30615880;0
SBER;D;20171107;000000;196.5;206.7;195.56;205.96;135174410;0
SBER;D;20171108;000000;205.95;211.77;204.06;209.09;88294790;0
SBER;D;20171109;000000;209.51;221.5;209.12;220.05;116648980;0
SBER;D;20171110;000000;221;229.4;216.61;217.7;143570000;0
SBER;D;20171113;000000;217.7;223.99;215.78;216.61;50943980;0
SBER;D;20171114;000000;216.5;222.2;215.96;221.4;45905390;0
