<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
VTBR;D;20190708;000000;0.04125;0.042925;0.040715;0.04255;88335210000;0
VTBR;D;20190709;000000;0.04255;0.043345;0.04235;0.04313;55492090000;0
VTBR;D;20190710;000000;0.043295;0.0444;0.043105;0.04393;84692430000;0
VTBR;D;20190711;000000;0.04415;0.045;0.043245;0.044;84576050000;0
VTBR;D;20190712;000000;0.043805;0.04445;0.04254;0.044;66589810000;0
VTBR;D;20190715;000000;0.044145;0.04479;0.04364;0.04399;43244330000;0
VTBR;D;20190716;000000;0.043995;0.04404;0.04298;0.04301;28768430000;0
VTBR;D;20190717;000000;0.043;0.04349;0.04241;0.042445;31768990000;0
VTBR;D;20190718;000000;0.042395;0.042875;0.04201;0.04218;35284090000;0
VTBR;D;20190719;000000;0.04245;0.04285;0.0422;0.0424;19358720000;0
VTBR;D;20190722;000000;0.04255;0.0439;0.04204;0.043405;52647920000;0
VTBR;D;20190723;000000;0.043595;0.044;0.04322;0.04323;25859010000;0
VTBR;D;20190724;000000;0.04346;0.04366;0.04262;0.04295;21868240000;0
VTBR;D;20190725;000000;0.043;0.04369;0.04252;0.04315;22619620000;0
VTBR;D;20190726;000000;0.043055;0.04322;0.04255;0.0427;21292670000;0
VTBR;D;20190729;000000;0.04277;0.0431;0.04247;0.04281;13536160000;0
VTBR;D;20190730;000000;0.0429;0.04306;0.042565;0.0428;10939130000;0
VTBR;D;20190731;000000;0.042825;0.04295;0.0425;0.0425;14277630000;0
VTBR;D;20190801;000000;0.042395;0.04278;0.04225;0.042535;17798840000;0
VTBR;D;20190802;000000;0.041995;0.0422;0.04143;0.042015;62242000000;0
VTBR;D;20190805;000000;0.04194;0.04284;0.0415;0.041545;29032060000;0
VTBR;D;20190806;000000;0.04169;0.04191;0.04145;0.0416;19908100000;0
VTBR;D;20190807;000000;0.041605;0.04182;0.04075;0.04085;34140210000;0
VTBR;D;20190808;000000;0.041085;0.04149;0.040125;0.041;58700620000;0
VTBR;D;20190809;000000;0.0409;0.0409;0.04046;0.0406;15351250000;0
VTBR;D;20190812;000000;0.04069;0.04095;0.040525;0.0406;14157810000;0
VTBR;D;20190813;000000;0.040605;0.040655;0.039885;0.04022;27723910000;0
VTBR;D;20190814;000000;0.04032;0.040355;0.03892;0.03901;31912630000;0
