<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
GMKN;D;20200219;000000;22130;22698;22130;22520;312185;0
GMKN;D;20200220;000000;22600;22622;22180;22342;235282;0
GMKN;D;20200221;000000;22200;22434;22184;22220;119480;0
GMKN;D;20200225;000000;21702;22088;21550;21554;278760;0
GMKN;D;20200226;000000;21502;22200;21322;21826;394548;0
GMKN;D;20200227;000000;21700;22028;21160;21238;344212;0
GMKN;D;20200228;000000;20710;21118;19960;20250;641310;0
GMKN;D;20200302;000000;20650;20994;19660;20160;526810;0
GMKN;D;20200303;000000;20568;20940;20300;20714;363884;0
GMKN;D;20200304;000000;20670;20898;20502;20756;243363;0
GMKN;D;20200305;000000;20870;20998;20524;20780;257397;0
GMKN;D;20200306;000000;20476;21886;19714;21762;812696;0
GMKN;D;20200310;000000;21100;23656;20500;21230;898046;0
GMKN;D;20200311;000000;21718;22474;20066;20238;597040;0
GMKN;D;20200312;000000;19770;20000;17776;18500;850059;0
GMKN;D;20200313;000000;18194;19588;17652;18038;776903;0
GMKN;D;20200316;000000;18200;18218;16014;17090;706409;0
GMKN;D;20200317;000000;16890;17418;16224;17180;616208;0
GMKN;D;20200318;000000;16852;16916;15500;15500;590262;0
GMKN;D;20200319;000000;15600;16298;14200;16252;789106;0
GMKN;D;20200320;000000;16838;17732;16312;16358;715550;0
GMKN;D;20200323;000000;15720;16580;15278;16240;450423;0
GMKN;D;20200324;000000;17336;19984;17100;19028;1223350;0
GMKN;D;20200325;000000;19600;20350;18522;19930;865514;0
GMKN;D;20200326;000000;20300;20300;19000;20100;499255;0
GMKN;D;20200327;000000;20100;20274;19020;19306;459509;0
GMKN;D;20200330;000000;19100;19520;18796;19462;286741;0
GMKN;D;20200331;000000;19788;19900;19162;19518;430178;0
GMKN;D;20200401;000000;19128;19244;18830;18952;273411;0
GMKN;D;20200402;000000;19420;19492;18566;18998;466083;0
GMKN;D;20200403;000000;18900;19260;18756;19032;246728;0
GMKN;D;20200406;000000;19202;19590;19080;19590;248124;0
GMKN;D;20200407;000000;19830;20132;19616;19780;378180;0
GMKN;D;20200408;000000;19592;20164;19504;20164;299632;0
GMKN;D;20200409;000000;20350;21254;20284;21138;354186;0
GMKN;D;20200410;000000;20910;20998;20530;20650;136845;0
GMKN;D;20200413;000000;20650;20898;19980;20100;188661;0
GMKN;D;20200414;000000;20302;20872;20246;20702;262152;0
GMKN;D;20200415;000000;20566;20732;19380;19646;341963;0
GMKN;D;20200416;000000;19800;20034;19300;19520;348517;0
GMKN;D;20200417;000000;19910;19936;19606;19718;199965;0
GMKN;D;20200420;000000;19742;20112;19608;20036;151454;0
GMKN;D;20200421;000000;19736;19924;18520;19240;427040;0
GMKN;D;20200422;000000;19000;19790;18938;19614;313052;0
GMKN;D;20200423;000000;19900;20486;19516;20216;317503;0
GMKN;D;20200424;000000;20070;20520;19870;20150;272259;0
GMKN;D;20200427;000000;20300;20470;19912;20034;192937;0
GMKN;D;20200428;000000;20066;20330;19874;20054;259085;0
GMKN;D;20200429;000000;20180;20848;20030;20596;234624;0
GMKN;D;20200430;000000;20790;20876;20306;20478;227644;0
GMKN;D;20200504;000000;20236;20292;19866;20126;192882;0
GMKN;D;20200505;000000;20300;20452;19958;20034;145273;0
GMKN;D;20200506;000000;20128;20334;19920;19940;207039;0
GMKN;D;20200507;000000;19986;20324;19962;20224;251864;0
GMKN;D;20200508;000000;20320;20370;20130;20144;128791;0
GMKN;D;20200512;000000;20350;21126;20276;21016;416096;0
GMKN;D;20200513;000000;20912;20974;20650;20762;228747;0
GMKN;D;20200514;000000;20698;20862;20000;20104;285821;0
GMKN;D;20200515;000000;20376;20754;20206;20206;239403;0
GMKN;D;20200518;000000;20650;21500;20550;21474;354714;0
GMKN;D;20200519;000000;21552;21970;21360;21920;349061;0
GMKN;D;20200520;000000;21920;23158;21802;22952;419784;0
GMKN;D;20200521;000000;22952;23150;22452;22536;373584;0
